ch	pt	fine_thr	a_fit	b_fit
12	 1	 3	217.414	0.408
12	 1	 4	216.394	0.458
12	 1	 5	215.331	0.400
12	 1	 6	214.272	0.419
12	 1	 7	213.300	0.585
12	 2	 0	220.433	0.336
12	 2	 1	219.304	0.373
12	 2	 2	218.405	0.346
12	 2	 3	217.363	0.452
12	 2	 4	216.371	0.518
12	 2	 5	215.310	0.391
12	 2	 6	214.282	0.429
12	 2	 7	213.235	0.743
12	 3	 0	220.457	0.360
12	 3	 1	219.340	0.367
12	 3	 2	218.416	0.377
12	 3	 3	217.331	0.489
12	 3	 4	216.370	0.506
12	 3	 5	215.263	0.409
12	 3	 6	214.248	0.403
12	 3	 7	213.239	0.734
12	 4	 0	220.429	0.381
12	 4	 1	219.320	0.362
12	 4	 2	218.380	0.384
12	 4	 3	217.345	0.483
12	 4	 4	216.363	0.477
12	 4	 5	215.256	0.425
12	 4	 6	214.233	0.433
12	 4	 7	213.214	0.793
12	 5	 0	220.441	0.392
12	 5	 1	219.336	0.413
12	 5	 2	218.364	0.391
12	 5	 3	217.287	0.482
12	 5	 4	216.324	0.488
12	 5	 5	215.246	0.404
12	 5	 6	214.267	0.526
12	 5	 7	213.137	0.774
12	 6	 0	220.361	0.459
12	 6	 1	219.314	0.431
12	 6	 2	218.346	0.427
12	 6	 3	217.230	0.527
12	 6	 4	216.338	0.488
12	 6	 5	215.260	0.418
12	 6	 6	214.283	0.498
12	 6	 7	213.186	0.768
12	 7	 0	220.388	0.427
